sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	leadtime-to-ship	fulfillment-channel
D1047				57		
D1049				0		
D1049-R				0		
D1051				41		
D1052				61		
D1057				75		
D1070				93		
D1082				9		
D1087				79		
D1093				41		
D1103				19		
D1106				63		
D1115				89		
D1153				31		
D1181				78		
D1200				160		
D2043				90		
D2044				70		
D2046				79		
D2049				40		
D2049-R				8		
D2051				27		
D2057				44		
D2070				32		
D2093				32		
D2103				115		
D2106				99		
D2128				439		
D2152				196		
D2181				49		
D2200				94		
E0082				185		
E0113				141		
E0131				143		
E0152				62		
E0153				118		
E0158				98		
E0159				190		
E0162				128		
E0180				282		
E0183				122		
E0185				139		
E0200				431		
E0203				145		
E0205				135		
E0223				259		
E0230				212		
E0232				117		
E0238				160		
E0242				213		
E0257				260		
E0300				0		
E1200				172		
E2200				165		
F0010				25		
F1010				93		
